id,dimension,question,a_text,b_text,a_type,b_type
1,EI,"หลังเลิกงาน คุณมักอยากทำอะไรมากกว่า","ไปเจอหรือคุยกับคนอื่น","อยู่เงียบ ๆ กับตัวเอง",E,I
2,EI,"เวลาคิดเรื่องสำคัญ คุณมักเริ่มจากอะไร","คุยออกเสียงกับใครสักคน","คิดเงียบ ๆ ก่อน",E,I
3,EI,"ในกลุ่มคนใหม่ คุณมักเป็นแบบไหน","เริ่มทักหรือเปิดบทสนทนา","รอสังเกตก่อนค่อยคุย",E,I
4,EI,"กิจกรรมแบบไหนเติมพลังให้คุณมากกว่า","กิจกรรมที่มีคนเยอะและคุยกันได้","กิจกรรมสงบหรือทำคนเดียว",E,I
5,EI,"เมื่อมีไอเดียใหม่ คุณมักทำอะไรก่อน","เล่าให้คนอื่นฟังทันที","เก็บไปคิดต่อก่อน",E,I
6,EI,"เวลาทำงานเป็นทีม คุณชอบจังหวะแบบไหน","ประชุมและแลกเปลี่ยนบ่อย","มีเวลาทำเองเงียบ ๆ",E,I
7,EI,"หลังเข้าสังคมหลายชั่วโมง คุณมักรู้สึกอย่างไร","ยังมีพลังและคุยต่อได้","เริ่มอยากพักคนเดียว",E,I
8,EI,"ถ้าต้องแก้ปัญหาเร็ว ๆ คุณมักเลือกทางไหน","ถามความเห็นคนอื่นทันที","วิเคราะห์เองก่อน",E,I
9,EI,"ในงานเลี้ยง คุณมักอยู่ตรงไหน","คุยกับหลายกลุ่ม","คุยกับคนสนิทไม่กี่คน",E,I
10,EI,"คุณเรียนรู้ได้ดีขึ้นเมื่อใด","มีคนอธิบายและถามตอบ","อ่านหรือทดลองเอง",E,I
11,EI,"เมื่อรู้สึกเครียด คุณมักต้องการอะไร","คนคุยหรือคนอยู่ใกล้","พื้นที่เงียบและเป็นส่วนตัว",E,I
12,EI,"คุณมักแสดงความคิดแบบไหน","พูดระหว่างกำลังคิด","คิดให้ชัดก่อนค่อยพูด",E,I
13,EI,"เวลาเริ่มโปรเจกต์ใหม่ คุณอยากเริ่มด้วยอะไร","คุยกับทีมและแบ่งไอเดีย","วางแผนเองก่อน",E,I
14,EI,"คุณสบายใจกับบทบาทไหนมากกว่า","เป็นคนเริ่มบทสนทนา","เป็นคนฟังและเลือกจังหวะพูด",E,I
15,EI,"วันหยุดที่เหมาะกับคุณคือแบบไหน","ออกไปพบผู้คนหรือทำกิจกรรม","อยู่บ้านหรืออยู่ในที่สงบ",E,I
16,EI,"เวลาตัดสินใจเรื่องส่วนตัว คุณมักทำอะไร","ปรึกษาคนใกล้ตัวก่อน","ทบทวนด้วยตัวเองก่อน",E,I
17,EI,"บรรยากาศทำงานแบบไหนเหมาะกับคุณ","มีคนรอบตัวและคุยได้","เงียบและมีสมาธิ",E,I
18,EI,"ถ้าไม่มีแผนในวันหยุด คุณมักเลือกอะไร","ชวนใครสักคนทำอะไรด้วยกัน","หาอะไรทำคนเดียว",E,I
19,EI,"เวลาคุณดีใจ คุณมักอยากทำอะไร","แชร์ให้คนอื่นรู้","เก็บความรู้สึกไว้กับตัวเองก่อน",E,I
20,EI,"คุณรู้สึกเป็นตัวเองมากกว่าเมื่อใด","อยู่ท่ามกลางบทสนทนา","อยู่ในพื้นที่ส่วนตัว",E,I
21,SN,"เมื่อเริ่มงานใหม่ คุณต้องการอะไรก่อน","ขั้นตอนชัดเจน","ภาพรวมและเหตุผล",S,N
22,SN,"เวลาตัดสินใจ คุณเชื่ออะไรมากกว่า","ข้อมูลจริงที่เห็นได้","ความเป็นไปได้ในอนาคต",S,N
23,SN,"คุณจำข้อมูลแบบไหนได้ดีกว่า","รายละเอียดและตัวเลข","แนวคิดหลักและความหมาย",S,N
24,SN,"เวลาฟังคำอธิบาย คุณชอบแบบไหน","ตัวอย่างจริงทีละขั้น","แนวคิดภาพใหญ่ก่อน",S,N
25,SN,"เมื่อแก้ปัญหา คุณเริ่มจากอะไร","ตรวจข้อเท็จจริงตรงหน้า","มองหารูปแบบที่ซ่อนอยู่",S,N
26,SN,"คุณชอบงานแบบไหนมากกว่า","มีวิธีทำชัดและวัดผลได้","เปิดให้คิดวิธีใหม่ได้",S,N
27,SN,"เวลาวางแผนอนาคต คุณดูอะไรก่อน","ข้อมูลปัจจุบันและอดีต","แนวโน้มและโอกาสใหม่",S,N
28,SN,"เมื่อได้ไอเดียใหม่ คุณถามอะไรก่อน","ทำจริงได้อย่างไร","ต่อยอดไปทางไหนได้บ้าง",S,N
29,SN,"คุณมักสนใจอะไรมากกว่า","สิ่งที่เกิดขึ้นจริงตอนนี้","สิ่งที่อาจเกิดขึ้นต่อไป",S,N
