type,title,summary,strengths,cautions,career_fit
ISTJ,"นักจัดระบบที่เชื่อถือได้","คุณจริงจัง รอบคอบ และให้ความสำคัญกับหน้าที่ ชอบทำงานบนข้อมูลที่ชัดเจนและมาตรฐานที่วางใจได้","รับผิดชอบสูง, ละเอียด, ทำงานเป็นขั้นตอน, รักษาคำมั่นสัญญา","อาจยึดติดกับวิธีเดิม, ไม่ชอบความคลุมเครือ, อาจดูเข้มงวดเกินไป","บัญชี, ตรวจสอบคุณภาพ, วิศวกรระบบ, งานปฏิบัติการ, กฎหมายหรือราชการ"
ISFJ,"ผู้ดูแลที่มั่นคง","คุณใส่ใจรายละเอียดและความรู้สึกของคนรอบตัว ชอบช่วยเหลืออย่างเป็นรูปธรรมและทำให้สิ่งต่าง ๆ ดำเนินไปอย่างราบรื่น","อ่อนโยน, รอบคอบ, จำรายละเอียดได้ดี, ภักดีต่อทีม","อาจรับภาระมากเกินไป, เลี่ยงความขัดแย้ง, ลังเลที่จะบอกความต้องการของตนเอง","พยาบาล, งานบริการลูกค้า, ทรัพยากรบุคคล, ครู, ผู้ประสานงาน"
INFJ,"นักมองการณ์ไกลผู้มีอุดมการณ์","คุณมองเห็นความหมายลึกซึ้งและต้องการสร้างผลกระทบที่ดีต่อผู้คน ชอบทำงานที่สอดคล้องกับคุณค่าในใจ","เข้าใจคน, คิดเชิงระบบ, มีวิสัยทัศน์, มุ่งมั่นกับเป้าหมายที่มีความหมาย","อาจคาดหวังสูง, เก็บความเครียดไว้คนเดียว, เหนื่อยง่ายจากสภาพแวดล้อมที่ขัดกับคุณค่า","นักจิตวิทยา, ที่ปรึกษา, นักเขียน, นักยุทธศาสตร์, งานเพื่อสังคม"
INTJ,"นักวางกลยุทธ์อิสระ","คุณชอบมองภาพใหญ่ สร้างแผนระยะยาว และปรับระบบให้มีประสิทธิภาพมากขึ้น โดยพึ่งพาการคิดวิเคราะห์ของตนเอง","คิดลึก, วางแผนดี, แก้ปัญหาซับซ้อน, มองอนาคต","อาจดูห่างเหิน, ไม่อดทนกับงานไร้เหตุผล, สื่อสารความคิดยากเมื่อคนอื่นตามไม่ทัน","นักวิเคราะห์, สถาปนิกระบบ, นักวิจัย, ผู้จัดการกลยุทธ์, ผู้ประกอบการเทคโนโลยี"
ISTP,"นักแก้ปัญหาเชิงปฏิบัติ","คุณชอบเข้าใจกลไกของสิ่งต่าง ๆ ผ่านการลงมือทำ ตอบสนองเร็วและสงบเมื่อต้องแก้ปัญหาเฉพาะหน้า","ใจเย็น, คล่องตัว, วิเคราะห์จากของจริง, แก้ปัญหาได้เร็ว","อาจเบื่องานซ้ำ, ไม่ชอบกฎมากเกินไป, อธิบายความรู้สึกไม่ถนัด","ช่างเทคนิค, วิศวกรภาคสนาม, นักพัฒนา, นักวิเคราะห์ความปลอดภัย, งานกีฬา/ปฏิบัติการ"
ISFP,"ศิลปินผู้จริงใจ","คุณอ่อนไหวต่อบรรยากาศและคุณค่าของตัวเอง ชอบแสดงออกผ่านการลงมือทำอย่างเป็นธรรมชาติและไม่ชอบถูกบังคับ","มีรสนิยม, เห็นอกเห็นใจ, ยืดหยุ่น, สังเกตความงามและรายละเอียด","อาจหลีกเลี่ยงการวางแผนระยะยาว, ไม่ชอบคำวิจารณ์แรง, ตัดสินใจช้าเมื่อขัดกับใจ","ดีไซเนอร์, ช่างภาพ, นักบำบัด, งานดูแลสัตว์หรือธรรมชาติ, งานคราฟต์"
INFP,"นักอุดมคติผู้ลึกซึ้ง","คุณขับเคลื่อนด้วยคุณค่าและจินตนาการ ชอบเข้าใจตัวตนของผู้คนและสร้างสิ่งที่มีความหมาย","สร้างสรรค์, เห็นอกเห็นใจ, ซื่อสัตย์กับคุณค่า, มองความเป็นไปได้ในตัวคน","อาจคิดมาก, เลี่ยงรายละเอียดที่น่าเบื่อ, ผิดหวังง่ายเมื่อโลกไม่ตรงอุดมคติ","นักเขียน, คอนเทนต์ครีเอเตอร์, นักจิตวิทยา, งานศิลปะ, งานองค์กรไม่แสวงกำไร"
INTP,"นักคิดผู้แสวงหาความจริง","คุณชอบสำรวจแนวคิด วิเคราะห์หลักการ และตั้งคำถามกับสิ่งที่ดูเหมือนชัดเจน เพื่อเข้าใจระบบอย่างลึกซึ้ง","คิดอิสระ, วิเคราะห์เก่ง, เรียนรู้เร็ว, มองเห็นตรรกะซ่อนอยู่","อาจผัดวัน, ไม่สนใจงานจุกจิก, สื่อสารแบบตรงเกินหรือซับซ้อนเกิน","นักวิจัย, นักพัฒนา, นักวิทยาศาสตร์ข้อมูล, นักปรัชญา, สถาปนิกซอฟต์แวร์"
ESTP,"นักลงมือทำผู้กล้าเสี่ยง","คุณมีพลังกับสถานการณ์จริง ชอบตัดสินใจเร็ว ทดลองทันที และแก้เกมจากข้อมูลตรงหน้า","กล้าลอง, เข้าสังคมเก่ง, รับมือวิกฤตดี, มองโอกาสเร็ว","อาจใจร้อน, มองข้ามผลระยะยาว, เบื่องานที่ต้องรอนาน","ฝ่ายขาย, ผู้ประกอบการ, งานอีเวนต์, การตลาดภาคสนาม, งานฉุกเฉิน"
ESFP,"ผู้สร้างสีสันให้ผู้คน","คุณอบอุ่น สนุกกับประสบการณ์ตรง และมักทำให้บรรยากาศรอบตัวมีชีวิตชีวา ชอบเห็นผู้คนมีความสุข","เป็นมิตร, ปรับตัวไว, สื่อสารธรรมชาติ, สร้างแรงจูงใจให้คนอื่น","อาจหลีกเลี่ยงเรื่องหนัก, ใช้พลังมากเกินไป, ไม่ชอบโครงสร้างที่เข้มงวด","พิธีกร, งานบริการ, การตลาด, นักแสดง, ผู้จัดกิจกรรม"
